item_name,item_id,item_img,created_at,updated_at
떡,1,default.jpg,2025-12-13 19:24:15.245048,2025-12-13 19:24:15.245854
양배추,2,default.jpg,2025-12-13 19:24:15.245048,2025-12-13 19:24:15.245854
돼지고기,3,default.jpg,2025-12-13 19:24:15.245048,2025-12-13 19:24:15.245854
두부,4,default.jpg,2025-12-13 19:24:15.245048,2025-12-13 19:24:15.245854
파,5,default.jpg,2025-12-13 19:24:15.245048,2025-12-13 19:24:15.245854
김치,6,default.jpg,2025-12-13 19:24:15.245048,2025-12-13 19:24:15.245854
